iter	Passed	Remaining
0	1	103
1	1	88
2	2	79
3	3	75
4	3	73
5	4	70
6	5	68
7	5	68
8	6	67
9	7	65
10	7	64
11	8	63
12	9	62
13	10	61
14	10	60
15	11	59
16	11	58
17	12	57
18	13	57
19	14	56
20	14	56
21	15	56
22	16	55
23	17	54
24	18	54
25	18	53
26	19	53
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	30	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
