iter	Passed	Remaining
0	161	161215
1	162	81047
2	163	54243
3	164	40837
4	164	32807
5	165	27435
6	167	23690
7	168	20850
8	169	18621
9	170	16889
10	171	15416
11	172	14189
12	173	13150
13	174	12261
14	175	11498
15	175	10818
16	176	10216
17	177	9685
18	178	9209
19	179	8779
20	180	8398
21	180	8044
22	181	7730
23	183	7444
24	184	7177
25	184	6925
26	186	6706
27	186	6490
28	187	6286
29	188	6101
30	189	5925
31	190	5764
32	191	5608
33	192	5464
34	193	5326
35	193	5194
36	195	5076
37	196	4966
38	197	4862
39	198	4758
40	199	4660
41	200	4565
42	201	4473
43	202	4391
44	202	4307
45	203	4227
46	204	4149
47	205	4074
48	206	4003
49	207	3936
50	208	3873
51	209	3811
52	209	3751
53	210	3693
54	211	3639
55	213	3591
56	214	3543
57	215	3492
58	215	3444
59	216	3398
60	217	3353
61	218	3309
62	219	3269
63	220	3227
64	221	3186
65	222	3147
66	223	3109
67	224	3073
68	225	3038
69	226	3008
70	227	2975
71	228	2945
72	229	2913
73	230	2881
74	231	2850
75	232	2822
76	232	2792
77	233	2764
78	234	2736
79	235	2709
80	236	2684
81	237	2655
82	238	2634
83	239	2610
84	240	2586
85	241	2564
86	242	2541
87	243	2519
88	244	2500
89	245	2479
90	246	2458
91	247	2438
92	247	2417
93	248	2397
94	249	2377
95	250	2360
96	251	2343
97	252	2320
98	252	2301
99	253	2283
100	254	2267
101	255	2251
102	257	2238
103	258	2223
104	258	2206
105	259	2190
106	260	2175
107	261	2160
108	262	2146
109	263	2132
110	264	2116
111	265	2102
112	265	2087
113	266	2073
114	267	2058
115	268	2044
116	269	2030
117	270	2019
118	271	2007
119	272	1995
120	273	1984
121	274	1972
122	275	1962
123	276	1953
124	277	1941
125	278	1930
126	279	1918
127	279	1906
128	280	1897
129	282	1887
130	282	1875
131	283	1864
132	284	1853
133	285	1844
134	286	1834
135	287	1826
136	288	1818
137	289	1807
138	290	1798
139	291	1788
140	291	1778
141	292	1768
142	293	1759
143	294	1752
144	295	1743
145	296	1733
146	297	1724
147	297	1714
148	298	1705
149	299	1696
150	300	1688
151	301	1682
152	302	1674
153	303	1666
154	304	1658
155	305	1650
156	305	1642
157	306	1635
158	307	1628
159	308	1619
160	309	1611
161	310	1603
162	310	1596
163	311	1587
164	312	1579
165	313	1572
166	313	1566
167	314	1558
168	315	1552
169	316	1546
170	317	1539
171	318	1532
172	319	1526
173	320	1519
174	321	1513
175	321	1506
176	322	1499
177	323	1493
178	324	1486
179	325	1480
180	325	1474
181	326	1468
182	327	1461
183	328	1455
184	328	1449
185	330	1444
186	331	1440
187	332	1435
188	333	1430
189	334	1424
190	334	1418
191	335	1413
192	336	1407
193	337	1402
194	338	1398
195	339	1393
196	340	1387
197	341	1382
198	342	1377
199	342	1371
200	344	1367
201	344	1362
202	345	1357
203	346	1352
204	347	1347
205	348	1342
206	349	1337
207	350	1333
208	351	1328
209	351	1323
210	352	1318
211	353	1313
212	354	1308
213	355	1304
214	355	1298
215	356	1294
216	357	1290
217	358	1286
218	359	1281
219	360	1277
220	361	1273
221	362	1269
222	363	1265
223	364	1261
224	364	1257
225	365	1252
226	366	1249
227	367	1244
228	369	1242
229	370	1239
230	371	1235
231	372	1232
232	373	1228
233	374	1224
234	375	1223
235	377	1221
236	378	1217
237	378	1213
238	379	1209
239	380	1205
240	381	1201
241	382	1197
242	383	1194
243	384	1189
244	384	1186
245	385	1182
246	386	1177
247	387	1174
248	388	1170
249	388	1166
250	389	1163
251	390	1159
252	391	1155
253	392	1152
254	393	1148
255	394	1145
256	395	1142
257	395	1138
258	396	1134
259	397	1130
260	398	1127
261	398	1123
262	399	1120
263	400	1116
264	401	1112
265	402	1109
266	402	1106
267	403	1102
268	404	1099
269	405	1095
270	406	1093
271	407	1090
272	408	1087
273	409	1083
274	409	1080
275	410	1076
276	411	1073
277	412	1070
278	412	1067
279	414	1064
280	414	1061
281	415	1058
282	416	1054
283	417	1051
284	417	1048
285	418	1045
286	419	1042
287	420	1040
288	422	1038
289	423	1037
290	425	1036
291	427	1035
292	428	1033
293	429	1032
294	431	1031
295	432	1028
296	433	1025
297	434	1023
298	436	1022
299	437	1021
300	438	1019
301	440	1017
302	441	1015
303	442	1012
304	443	1011
305	445	1011
306	447	1009
307	448	1006
308	449	1004
309	450	1002
310	451	1001
311	452	998
312	454	996
313	455	994
314	456	992
315	457	989
316	458	987
317	459	984
318	459	981
319	460	979
320	461	977
321	463	975
322	464	973
323	465	971
324	466	969
325	469	970
326	470	968
327	471	966
328	472	963
329	473	961
330	474	958
331	475	956
332	476	954
333	477	952
334	478	950
335	480	948
336	481	947
337	483	947
338	485	945
339	486	945
340	487	942
341	488	940
342	489	937
343	490	935
344	491	933
345	493	932
346	494	930
347	495	928
348	497	928
349	499	927
350	500	925
351	501	923
352	502	920
353	503	918
354	504	916
355	505	914
356	506	912
357	507	909
358	508	907
359	509	905
360	511	905
361	514	906
362	515	904
363	516	902
364	518	901
365	518	898
366	519	896
367	520	894
368	521	891
369	523	891
370	524	889
371	525	887
372	528	887
373	530	888
374	531	885
375	532	883
376	533	881
377	534	878
378	535	877
379	536	875
380	538	874
381	539	873
382	542	874
383	543	872
384	545	871
385	546	869
386	547	867
387	548	864
388	549	862
389	550	860
390	551	858
391	552	857
392	553	855
393	555	854
394	556	853
395	558	851
396	559	849
397	560	847
398	561	845
399	562	843
400	563	841
401	564	839
402	565	837
403	566	835
404	567	833
405	568	832
406	570	831
407	571	829
408	573	828
409	574	827
410	575	825
411	576	823
412	577	821
413	579	819
414	579	817
415	580	815
416	581	813
417	582	811
418	585	811
419	586	810
420	589	810
421	590	808
422	591	807
423	592	805
424	593	803
425	594	801
426	595	799
427	597	798
428	599	797
429	602	798
430	604	797
431	607	798
432	608	796
433	609	795
434	611	794
435	612	792
436	615	793
437	618	793
438	621	793
439	622	792
440	623	790
441	624	788
442	626	787
443	627	785
444	629	785
445	631	784
446	633	783
447	635	783
448	636	781
449	637	779
450	639	778
451	640	776
452	643	777
453	645	776
454	647	775
455	648	773
456	649	772
457	650	770
458	651	768
459	653	766
460	654	764
461	655	763
462	658	763
463	660	762
464	662	762
465	663	760
466	665	759
467	666	757
468	667	755
469	668	753
470	669	751
471	671	750
472	673	750
473	674	748
474	676	747
475	677	745
476	677	743
477	678	741
478	679	739
479	680	737
480	681	735
481	682	733
482	683	731
483	684	730
484	687	730
485	689	729
486	690	727
487	692	726
488	692	724
489	693	722
490	694	720
491	695	718
492	696	716
493	697	714
494	698	712
495	700	711
496	702	711
497	704	709
498	705	708
499	706	706
500	708	705
501	709	703
502	710	701
503	711	700
504	712	698
505	714	697
506	715	695
507	717	695
508	719	694
509	721	693
510	722	691
511	723	689
512	724	687
513	725	686
514	726	684
515	727	682
516	729	681
517	731	680
518	732	678
519	734	677
520	735	676
521	736	674
522	737	672
523	738	671
524	739	669
525	740	667
526	742	666
527	743	664
528	745	664
529	746	662
530	748	661
531	749	659
532	750	657
533	751	655
534	752	653
535	753	651
536	754	650
537	755	648
538	756	646
539	757	645
540	758	643
541	760	642
542	761	641
543	763	639
544	764	638
545	765	636
546	766	635
547	768	633
548	768	631
549	769	629
550	770	628
551	771	626
552	772	624
553	774	623
554	775	621
555	776	620
556	778	618
557	779	617
558	780	615
559	781	613
560	782	612
561	783	610
562	784	608
563	785	606
564	786	605
565	787	603
566	788	601
567	789	600
568	791	599
569	792	597
570	793	595
571	793	594
572	795	592
573	796	591
574	798	589
575	799	588
576	800	586
577	801	585
578	802	583
579	803	582
